"","Sim","trued_N_01","trued_N_01_nsl","trued_C_00","trued_C_00_nsl","trued_A_10","trued_A_10_nsl","trued_AC_sp","trued_AC_sp_nsl","AACE","AACE_se","AACE_CI_l","AACE_CI_u","AACE.adj","AACE.adj_se","AACE.adj_CI_l","AACE.adj_CI_u","CACE","CACE_se","CACE_CI_l","CACE_CI_u","CACE.adj","CACE.adj_se","CACE.adj_CI_l","CACE.adj_CI_u","NACE","NACE_se","NACE_bs_CI_l","NACE_bs_CI_u","NACE.adj","NACE.adj_se","NACE.adj_CI_l","NACE.adj_CI_u","CAACE","CAACE_se","CAACE_CI_l","CAACE_CI_u","CAACE.adj","CAACE.adj_se","CAACE.adj_CI_l","CAACE.adj_CI_u","APCP","CPCP","NPCP"
"1",1,-3.35415094339623,-3.94931623931624,0.716552399608227,0.617527860925628,3.13454545454545,2.33054503157195,0.951724137931034,0.759001932530301,1.94023684508686,0.688385366004669,0.945742497677015,2.53380811227771,1.98496933232205,1.18687207868873,0.429368862804503,3.17506470470203,0.521007891840325,0.261535845127449,0.245896419124915,0.808795254607687,0.685339583813249,0.305170802184271,0.389579547622594,1.06461023863633,-3.246726760873,1.56074654507587,-4.88602252727613,-1.10320744639313,-3.05278765915884,3.05230577806471,-5.58824896088499,0.0905088264338988,0.300831997483137,0.169261997339523,0.0656094033949735,0.462952814405937,0.789310674310479,0.352403622006451,0.455735274273644,1.24879518410577,0.592175617005295,0.931333684435253,0.531024027885105
"2",2,-2.39758620689655,-2.09536764705882,0.678848780487805,0.580329137362177,3.31714285714286,3.32990586221652,0.909082813891362,0.750781787268598,3.78473106051137,2.20146475919766,1.81835106047513,6.99155350640526,3.68472024655936,2.70783911908786,1.31428993024949,7.19962569777142,0.581402516186837,0.39700063854177,0.140427967515737,1.10524366132599,0.811177725267128,0.34686452440394,0.47858773124633,1.32676918698896,-4.11101275121606,2.00131953270966,-6.74309614390609,-2.04682088300536,-2.93038041757385,1.57632075374473,-4.26313355702684,-1.11360451606205,0.536074960028886,0.358722562265057,0.0350360147558282,0.894934093543711,1.09389509880341,0.33954186351752,0.759491547602823,1.51747856265683,0.464004379631687,0.944718033072413,0.517344769990214
"3",3,-3.0426,-3.76006493506494,0.755236220472441,0.539175743907495,2.93539130434783,2.2618306010929,0.976914235190097,0.733360728023267,1.6718510492169,1.04980213831229,0.589442859996858,3.15199717872694,1.90247367346088,0.976080282941889,1.12166240632421,3.34067465362514,0.243207378812444,0.441103354634872,-0.308713002151006,0.79086329032027,0.354646257560528,0.356690347072055,-0.0633266662543762,0.818311759234321,-3.95995246106983,1.46191672130211,-6.15742251605081,-2.80242502433483,-3.94366754471647,1.85957816265091,-5.19284185722551,-2.69449323220744,0.244318038398545,0.407061097205516,-0.373208840676792,0.603321802501847,0.535482743922393,0.383031552594032,-0.00380393190115644,0.9075658315799,0.625805610585587,0.923231718505767,0.574064827959106
"4",4,-2.57857142857143,-2.57422920892495,0.809439439439439,0.80763966043816,2.76764227642276,3.2815,1.02410873440285,1.07109166476016,2.97535457160311,1.46422137597271,1.79520243435662,5.15494821346892,3.03542642169961,1.89855335313873,1.47304224268753,5.81840136248304,1.17323365329262,0.255630506809553,0.924916752248988,1.48964888492355,1.15755556601102,0.350989739466183,0.804050587341061,1.5538184199434,-3.16405598049893,1.95190649719063,-5.63419067537688,-1.47731171457894,-3.25330093645311,2.72245081748521,-6.56010715661012,-0.792213227806057,1.00523861177299,0.399388790455977,0.619399436675476,1.59817168218428,1.33959516768953,0.589209065206983,0.748439699426448,2.13334773117874,0.591352144359584,0.91353638113243,0.532187411750485
"5",5,-2.0031746031746,-2.91592857142857,0.791445427728614,0.690481314447943,2.69192307692308,2.59306060606061,0.967760927743087,0.814780521654984,1.85925556734445,0.696063914602502,1.08031816581637,2.82989870668739,1.08905896316168,1.95679475126758,-1.92935175907834,2.5233997996934,0.623418073982772,0.240975726057127,0.343142288635629,0.939215104269264,0.638886627915278,0.349827287357586,0.201595142859238,1.06831912592887,-2.51725265681881,0.671506744625628,-3.34384475640601,-1.74584560854967,-6.77196771113705,6.14664459694406,-10.9009850833777,-2.64295033889639,0.414502624890775,0.222757681831984,0.12915972729836,0.662497647756137,0.851881334825461,0.498840000935734,0.381861409865623,1.59728439304394,0.495084833907958,0.945154320136689,0.46968043086876
"6",6,-3.00811320754717,-3.6658651026393,0.668060724779628,0.830899621575566,2.83234782608696,2.72998782714547,0.887156690140845,0.984282720890225,3.2331534839851,0.214813097731214,3.04580604099459,3.53719606461356,3.23084062586849,0.382126217414126,2.72009645244346,3.60834981781361,0.615509831333469,0.105701760406578,0.527755097575442,0.769897278803159,0.480267426278019,0.204181379192144,0.225223026626453,0.710639074904117,-2.22650201535141,0.615090882140601,-3.09169978367645,-1.5762867517093,-1.86159694565153,NA,-1.86159694565153,-1.86159694565153,0.476342421153353,0.297746239679944,0.105090598811928,0.735486777831448,0.791860643566325,0.214115008944999,0.552391537828537,1.03692457196508,0.526165366149282,0.936968398418168,0.526691511946605
"7",7,-3.54307692307692,-3.8511844077961,0.729404878048781,0.861628832300218,3.69885964912281,3.79666666666667,1.02661106233538,1.17473190720505,3.36847177456371,0.667750820864526,2.77467259011287,4.10663195219416,3.80549038646786,1.01417982136701,2.94582654799444,5.16905859047652,0.76338832441531,0.342231688435631,0.301544936601638,1.12396820314902,0.825832947603329,0.366286395969869,0.292668678667521,1.13939636836222,-2.63297350770132,1.0888662680003,-3.99814472985249,-1.61406753220731,-2.82400241297819,1.7828236922006,-4.02161679927253,-1.62638802668386,0.904283476205004,0.265561414963849,0.656790202785508,1.24179095445784,1.34797440318357,0.257540906793484,1.13857376159678,1.71756290241853,0.545208531121758,0.934320987010003,0.444883167795311
"8",8,-1.822,-1.58053571428571,0.747888015717092,0.802357563850688,2.85028571428571,2.92208061002179,0.944461264470169,0.991257358538442,2.63581109920697,1.48551833777681,1.15741681365329,4.50057159468244,3.21291294173544,2.38528164317836,0.583998791501401,6.37071048789473,0.613881166274933,0.497474021022819,0.316966175125446,1.39504358154821,0.488736574851407,0.457679731974571,0.225751854546602,1.20731323433048,-2.18066629116192,1.95651677070464,-4.15895067133855,0.270991410516088,-3.4582780070483,2.41401677745068,-6.47814902513726,-1.18800283257434,0.384633555057364,0.641531531793925,-0.0466236137298666,1.38794947210106,0.700079194342753,0.488272661182281,0.374444420119251,1.46201696307497,0.664220094804109,0.931267005493407,0.497593204070128
"9",9,-1.40375,-1.5135,0.557464251668256,0.634803707742639,3.50042105263158,3.69582446808511,0.801853146853147,0.88520979020979,3.10811021357147,0.739475302572495,2.40667430930554,4.12675550523689,2.74863595204762,0.643681590065888,2.0981876363608,3.57319488683917,0.714361674520242,0.394477778111788,0.376498873083492,1.29424602814336,0.594014935199151,0.316632872194444,0.252863558364805,1.01865351845402,-0.991809332762018,1.27939754747019,-2.29223225216241,0.69553368500021,-4.4618618211872,2.43662461203024,-6.09866791824119,-2.82505572413321,0.633014719854748,0.303896661963673,0.391060663037846,1.09170713736271,0.816115918960181,0.298648230962421,0.478108858959279,1.20786412523968,0.608979591263083,0.93931107293296,0.53144990075875
"10",10,-2.82186440677966,-3.03,0.739577603143418,0.678815255696183,2.4427358490566,1.94707971014493,0.900195729537367,0.858243994186544,3.19254244955092,0.684890949333286,2.65182252562434,4.2208209178343,3.390201433534,0.68228317714704,2.59314618590759,4.24353992642212,0.533549911759673,0.288438076749507,0.206252546015474,0.935228884232365,0.554476621033191,0.249522370084218,0.259927562648752,0.863324542192641,-2.52082063714455,0.703046288317056,-3.39408399639447,-1.70096067696161,-2.81942042938261,0.695133252171058,-3.23668030046507,-1.73041566642666,0.600647460224145,0.294555766533716,0.183260094136417,0.925533777424844,0.937869486460421,0.256292157453717,0.660054093751336,1.27077546319171,0.706226761599461,0.909406286432336,0.584414938097572
